title,description,category_x,image_url,text_cleaned
Neighborhood,": Humboldt ParkThe spot: This charming park is known for its meandering lagoon and historic boathouse. Take a stroll around the water, admiring the wildflowers and swan-shaped paddle boats, then grab a spot in the grass. There’s plenty of room to sprawl out and enjoy a lazy day of picnicking, bird watching, and enjoying the park’s natural beauty.Where to eat: Order sandwiches from Humboldt Haus, baked goods and old-fashioned soda from Spinning J, or Puerto Rican specialties from La Bruquena.",picnic,https://cdn.choosechicago.com/uploads/2019/06/Humboldt-Park-900x600.jpg, humboldt parkthe spot this charming park is known for its meandering lagoon and historic boathouse take a stroll around the water admiring the wildflowers and swan shaped paddle boats then grab a spot in the grass there s plenty of room to sprawl out and enjoy a lazy day of picnicking bird watching and enjoying the park s natural beauty where to eat order sandwiches from humboldt haus baked goods and old fashioned soda from spinning j or puerto rican specialties from la bruquena 
Neighborhood,": Ravenswood/Lincoln SquareThe spot: Winnemac Park has acres and acres of green space dotted with shady trees and weeping willows, perfect for an afternoon picnic. Along with plenty of spots to sit and eat, the park features a scenic prairie garden and nature trail filled with local wildflowers and plants. And the park is a short walk from the many Lincoln Avenue restaurants in Lincoln Square.Where to eat: Carry out mussels and fries from Hopleaf, sandwiches and bakery favorite from Cafe Selmarie, or Old World specialities from Gene’s Sausage Shop and Delicatessen.",picnic,, ravenswood lincoln squarethe spot winnemac park has acres and acres of green space dotted with shady trees and weeping willows perfect for an afternoon picnic along with plenty of spots to sit and eat the park features a scenic prairie garden and nature trail filled with local wildflowers and plants and the park is a short walk from the many lincoln avenue restaurants in lincoln square where to eat carry out mussels and fries from hopleaf sandwiches and bakery favorite from cafe selmarie or old world specialities from gene s sausage shop and delicatessen 
City Winery at the Chicago Riverwalk,"This outdoor wine garden has it all — wine on tap, artisanal cheese plates, beer, cocktails, a full food menu, and sweeping views of the Chicago River. At , you can sip on a glass of Riverwalk white, specialty cocktails, and local draft beers. Grab a table or order at the walk-up bar, then kick back and watch the boats drift past the iconic Marina Towers.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2019/06/CC_RIVERWALK_02-900x601.jpg,this outdoor wine garden has it all — wine on tap artisanal cheese plates beer cocktails a full food menu and sweeping views of the chicago river at you can sip on a glass of riverwalk white specialty cocktails and local draft beers grab a table or order at the walk up bar then kick back and watch the boats drift past the iconic marina towers 
Sweet Home Gelato,"Got a sweet tooth?  serves up hand-crafted gelato along the Chicago Riverwalk in the warmer months. Choose from a rotating array of freshly made gelatos and sorbets, like amaretto, chai tea, Nutella, panna cotta, and more. They also serve baked treats, shakes and floats, and coffee.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2018/07/RP_CITY_WINERY_29.jpg-900x601.jpg,got a sweet tooth serves up hand crafted gelato along the chicago riverwalk in the warmer months choose from a rotating array of freshly made gelatos and sorbets like amaretto chai tea nutella panna cotta and more they also serve baked treats shakes and floats and coffee 
Chicago Brewhouse,"is a waterfront restaurant and bar that celebrates Chicago’s thriving craft beer scene. They exclusively serve locally made beers, including options from Dovetail, Forbidden Root, Goose Island, Revolution, Half Acre, Begyle, and more. The food menu includes pub eats inspired by the city’s global neighborhoods, like the Devon Ave chicken tikka masala and the Pilsen street tacos.",riverwalk restaurants,,s a waterfront restaurant and bar that celebrates chicago s thriving craft beer scene they exclusively serve locally made beers including options from dovetail forbidden root goose island revolution half acre begyle and more the food menu includes pub eats inspired by the city s global neighborhoods like the devon ave chicken tikka masala and the pilsen street tacos 
O’Briens Riverwalk Café,"offers a sun-soaked patio, live music, and a menu filled with classic American fare with a hint of Ireland — choose from corned beef sandwiches, hot dogs, cobb salads, burgers, and more. The drink menu includes wine by the glass and bottle, domestic and imported beer, and a selection of cocktails.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2019/06/day-chicago-riverwalk-900x450.jpg,offers a sun soaked patio live music and a menu filled with classic american fare with a hint of ireland — choose from corned beef sandwiches hot dogs cobb salads burgers and more the drink menu includes wine by the glass and bottle domestic and imported beer and a selection of cocktails 
Beat Kitchen on the Riverwalk,"is an outpost of a popular music venue and restaurant in Roscoe Village. Located adjacent to DuSable Bridge,  serves carefully crafted food with fresh ingredients, including tacos, thin-crust pizza, and mac and cheese, along with a full-service bar. The patio offers views of some of Chicago’s most historic structures, like the Wrigley Building.",riverwalk restaurants,,s an outpost of a popular music venue and restaurant in roscoe village located adjacent to dusable bridge serves carefully crafted food with fresh ingredients including tacos thin crust pizza and mac and cheese along with a full service bar the patio offers views of some of chicago s most historic structures like the wrigley building 
Tiny Tapp & Café,"This waterfront spot is a relaxed cafe and eatery with a large selection of beers on a bustling stretch of the Riverwalk. The menu at  includes appetizers, sandwiches, salads, and flatbreads. The drink offerings include classic and frozen cocktails, wines, and plenty of local beer and cider. Their café area serves locally roasted coffee and baked goods.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2019/06/CC_RIVERWALK_02-900x601.jpg,this waterfront spot is a relaxed cafe and eatery with a large selection of beers on a bustling stretch of the riverwalk the menu at includes appetizers sandwiches salads and flatbreads the drink offerings include classic and frozen cocktails wines and plenty of local beer and cider their café area serves locally roasted coffee and baked goods 
The Northman Beer & Cider Garden,"brings the feel of a traditional European beer garden to the stunning riverfront. Grab a spot at one of the communal picnic tables and order some Euro-inspired favorites, like döner sausage, hummus, baked camembert, warm pretzels, and more. The real focus is on the cider, with a selection of fruit-forward options from all over the country — including The Northman’s own brew, a perfectly balanced cider from a blend of Michigan heirloom apples.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2020/06/DD31-900x600.jpg,brings the feel of a traditional european beer garden to the stunning riverfront grab a spot at one of the communal picnic tables and order some euro inspired favorites like döner sausage hummus baked camembert warm pretzels and more the real focus is on the cider with a selection of fruit forward options from all over the country — including the northman s own brew a perfectly balanced cider from a blend of michigan heirloom apples 
Island Party Hut Tiki Bar and Grill,"Come party at , tucked away on the east side of the Riverwalk. The tropical-themed bar and grill has multiple bars serving up frozen cocktails and island-inspired drinks that will transport you to the tropics. The menu includes plenty of favorites right off the grill, like slow-smoked pulled pork, a Big Kahuna Burger, and brats. They’re also fully stocked with group games, like ping pong, corn hole, jumbo Jenga, giant connect four, and more.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2019/05/chicago_riverwalk_boat_tours_343e6d03-fe04-41e5-b67c-bc7177a6545f-900x600.jpg,come party at tucked away on the east side of the riverwalk the tropical themed bar and grill has multiple bars serving up frozen cocktails and island inspired drinks that will transport you to the tropics the menu includes plenty of favorites right off the grill like slow smoked pulled pork a big kahuna burger and brats they re also fully stocked with group games like ping pong corn hole jumbo jenga giant connect four and more 
Community Marketplace,"The  on the Chicago Riverwalk is a space to promote small local businesses and give Riverwalk visitors a taste of Chicago’s diverse neighborhoods. The rotating array of vendors includes locallt owned restaurants, boutiques, specialty shops, and more.",riverwalk restaurants,,the on the chicago riverwalk is a space to promote small local businesses and give riverwalk visitors a taste of chicago s diverse neighborhoods the rotating array of vendors includes locallt owned restaurants boutiques specialty shops and more 
 Chicago’s First Lady,"Sit back and relax in the glass-enclosed Odyssey Chicago River, featuring lunch, brunch, and dinner cruises all year round. If an open-air sightseeing cruise is more your style, book a guided jaunt on the award-winning Chicago Architecture Foundation Center River Cruise aboard, Wendella, or Mercury Chicago’s Skyline Cruiseline. Chicago Water Taxi and Shoreline Water Taxi excursions, while not guided, are great ways to get to various points along the river. You can travel all the way to Chinatown from the Chicago Riverwalk.",waterfronts,https://cdn.choosechicago.com/uploads/2019/06/CAFC_River_Cruise_Bridge_Lift_horizontal_9986ecf9-4cfe-46fc-af4f-9ab3cd584d82-750x502.jpg,sit back and relax in the glass enclosed odyssey chicago river featuring lunch brunch and dinner cruises all year round if an open air sightseeing cruise is more your style book a guided jaunt on the award winning chicago architecture foundation center river cruise aboard wendella or mercury chicago s skyline cruiseline chicago water taxi and shoreline water taxi excursions while not guided are great ways to get to various points along the river you can travel all the way to chinatown from the chicago riverwalk 
Urban Kayaks,"The experience is interactive aboard Chicago Cycleboats, which are small boats powered by your own pedaling from a bike seat perch. Another fun (and environmentally friendly) option is captaining a private boat from Chicago Electric Boat Company, or skimming the water on a rental from .",waterfronts,,the experience is interactive aboard chicago cycleboats which are small boats powered by your own pedaling from a bike seat perch another fun and environmentally friendly option is captaining a private boat from chicago electric boat company or skimming the water on a rental from 
Chicago Water Sport Rentals,"Thrill-seekers can get their fix with watersports on Lake Michigan, from stand-up paddleboarding with ChicagoSUP at North Avenue Beach to flyboarding at 31st Street Harbor with . Or rent some wheels from Bike and Roll Chicago and leisurely pedal along the Chicago Lakefront Trail that hugs the curves of the shoreline.",waterfronts,https://cdn.choosechicago.com/uploads/2019/06/Art_on_theMART_80233741-0324-4d9d-b831-9a1a76731390.jpg,thrill seekers can get their fix with watersports on lake michigan from stand up paddleboarding with chicagosup at north avenue beach to flyboarding at st street harbor with or rent some wheels from bike and roll chicago and leisurely pedal along the chicago lakefront trail that hugs the curves of the shoreline 
Navy Pier,"Spend the day at , a former naval ship dock transformed into a lakefront playground. Enter via Polk Bros Park, featuring a fountain with magnificent water jets and the new Peoples Energy Welcome Pavilion, which greets guests in various languages. Enjoy live music and theatre at Fifth Third Bank Family Pavilion, immerse yourself in a flick at the AMC  IMAX Theatre, climb through a schooner at the Chicago Children’s Museum and head to Pier Park for a spin on the nearly 200-foot-tall Centennial Wheel. The entertainment continues with works by The Bard at The Yard at Chicago Shakespeare and live music coupled with great water views at the Miller Lite Beer Garden.",waterfronts,https://cdn.choosechicago.com/uploads/2019/06/NAVY_PIER_10_e5afeada-805e-4492-8a6c-db1d652bfb1d-1.jpg,spend the day at a former naval ship dock transformed into a lakefront playground enter via polk bros park featuring a fountain with magnificent water jets and the new peoples energy welcome pavilion which greets guests in various languages enjoy live music and theatre at fifth third bank family pavilion immerse yourself in a flick at the amc imax theatre climb through a schooner at the chicago children s museum and head to pier park for a spin on the nearly  foot tall centennial wheel the entertainment continues with works by the bard at the yard at chicago shakespeare and live music coupled with great water views at the miller lite beer garden 
Harry Caray’s Tavern,"Hungry? Stop at the food court or sit-down restaurants like , Giordano’s (for deep-dish pizza), and Riva Crabhouse. You can also hit the water for a multi-course meal and cruise aboard Odyssey Lake Michigan, Mystic Blue, or the Spirit of Chicago. Or simply enjoy a feast for the eyes aboard a sightseeing cruise on a classic Shoreline Sightseeing vessel, Seadog Chicago speedboat, or historic Tall Ship Windy sailboat.",waterfronts,https://cdn.choosechicago.com/uploads/2019/06/NAVY-PIER-165-900x601.jpg,hungry stop at the food court or sit down restaurants like giordano s for deep dish pizza and riva crabhouse you can also hit the water for a multi course meal and cruise aboard odyssey lake michigan mystic blue or the spirit of chicago or simply enjoy a feast for the eyes aboard a sightseeing cruise on a classic shoreline sightseeing vessel seadog chicago speedboat or historic tall ship windy sailboat 
Neighborhood,": ChinatownThe spot: Ping Tom Memorial Park is a riverfront park that features Chinese-inspired design (like the ornate pavilion), a playground, and boat house with seasonal kayak rentals. The rolling green space was originally a rail yard, but has been transformed into a treasured park for the Chinatown community. Find a picnic spot along the water and enjoy the unique skyline views.Where to order: Order a round of dim sum to-go from MingHin Cuisine, handmade dumplings from Qing Xian Yuan, or traditional treats from the oldest bakery in Chinatown, Chiu Quon Bakery.",picnic,https://cdn.choosechicago.com/uploads/2019/08/CC_Ping_Tom_Park_Chinatown_c740e9aa-d935-4d02-8e52-f17bac5b22e4.jpg, chinatownthe spot ping tom memorial park is a riverfront park that features chinese inspired design like the ornate pavilion a playground and boat house with seasonal kayak rentals the rolling green space was originally a rail yard but has been transformed into a treasured park for the chinatown community find a picnic spot along the water and enjoy the unique skyline views where to order order a round of dim sum to go from minghin cuisine handmade dumplings from qing xian yuan or traditional treats from the oldest bakery in chinatown chiu quon bakery 
Neighborhood,": LoopThe spot: One of the city’s most iconic green spaces, the Great Lawn at Millennium Park is a great place for an outdoor picnic. Find a spot in the grass beneath the soaring Pritzker Pavilion and marvel at the stunning architecture all around you. Afterward, go for a stroll in the peaceful Lurie Gardens.Where to eat: Pick up some German classics from legendary spot The Berghoff, a picnic pack from About Last Knife, or stock up on sweets inside Revival Food Hall.",picnic,https://cdn.choosechicago.com/uploads/2018/05/AM_ChooseChicagoChicagoGospelMusicFest2016-7-900x601.jpg, loopthe spot one of the city s most iconic green spaces the great lawn at millennium park is a great place for an outdoor picnic find a spot in the grass beneath the soaring pritzker pavilion and marvel at the stunning architecture all around you afterward go for a stroll in the peaceful lurie gardens where to eat pick up some german classics from legendary spot the berghoff a picnic pack from about last knife or stock up on sweets inside revival food hall 
Neighborhood,": Hyde ParkThe spot: Named for one of Chicago’s most famous architects, Burnham Park boasts an appropriately jaw-dropping skyline view. The lakefront oasis includes Promontory Point, which juts out into the blue waters of Lake Michigan and offers a picturesque picnic spot.Where to eat: Grab paninis and salads to-go at Piccolo Mondo, noodles at Siam Thai, or Southern American dishes with a twist from Virtue.",picnic,https://cdn.choosechicago.com/uploads/2019/05/CC_east_hyde_park_bff4830f-09a0-4c11-bac3-1e13c9ba4912.jpg, hyde parkthe spot named for one of chicago s most famous architects burnham park boasts an appropriately jaw dropping skyline view the lakefront oasis includes promontory point which juts out into the blue waters of lake michigan and offers a picturesque picnic spot where to eat grab paninis and salads to go at piccolo mondo noodles at siam thai or southern american dishes with a twist from virtue 
Neighborhood,": Washington Park/WoodlawnThe spot: Washington Park is lovely all year round, but it’s particularly beautiful in the spring and summer. That’s when the park comes to life with colorful local flowers, making it a picture-perfect backdrop for an afternoon picnic. And make time to visit the nearby DuSable Museum when you’re done.Where to eat: Order carry-out pies from Nella Pizza e Pasta, soul food staples from Evelyn’s Food Love, or hot chicken from The Budlong.",picnic,https://cdn.choosechicago.com/uploads/2019/05/Washington-Park-DuSable-Museum_Chicago-Park-District-900x459.jpg, washington park woodlawnthe spot washington park is lovely all year round but it s particularly beautiful in the spring and summer that s when the park comes to life with colorful local flowers making it a picture perfect backdrop for an afternoon picnic and make time to visit the nearby dusable museum when you re done where to eat order carry out pies from nella pizza e pasta soul food staples from evelyn s food love or hot chicken from the budlong 
Neighborhood,": Lincoln ParkThe spot: While there are plenty of picnic spots around Lincoln Park, Alfred Caldwell Lily Pool is truly unique. This hidden gem is tucked away just to the north of Lincoln Park Zoo, creating a quiet oasis in the heart of Lincoln Park. Find a spot near the water to gaze out at the blooming lilies and peaceful waterfall.Where to eat: Enjoy romantic French cuisine from Mon Ami Gabi, modern Italian fare from Casati’s, or Cuban sandwiches from Cafecito,",picnic,https://cdn.choosechicago.com/uploads/2019/07/CC-Alfred-Caldwell-Lily-Pond_02-900x599.jpg, lincoln parkthe spot while there are plenty of picnic spots around lincoln park alfred caldwell lily pool is truly unique this hidden gem is tucked away just to the north of lincoln park zoo creating a quiet oasis in the heart of lincoln park find a spot near the water to gaze out at the blooming lilies and peaceful waterfall where to eat enjoy romantic french cuisine from mon ami gabi modern italian fare from casati s or cuban sandwiches from cafecito 
Neighborhood,": Humboldt ParkThe spot: This charming park is known for its meandering lagoon and historic boathouse. Take a stroll around the water, admiring the wildflowers and swan-shaped paddle boats, then grab a spot in the grass. There’s plenty of room to sprawl out and enjoy a lazy day of picnicking, bird watching, and enjoying the park’s natural beauty.Where to eat: Order sandwiches from Humboldt Haus, baked goods and old-fashioned soda from Spinning J, or Puerto Rican specialties from La Bruquena.",picnic,https://cdn.choosechicago.com/uploads/2019/06/Humboldt-Park-900x600.jpg, humboldt parkthe spot this charming park is known for its meandering lagoon and historic boathouse take a stroll around the water admiring the wildflowers and swan shaped paddle boats then grab a spot in the grass there s plenty of room to sprawl out and enjoy a lazy day of picnicking bird watching and enjoying the park s natural beauty where to eat order sandwiches from humboldt haus baked goods and old fashioned soda from spinning j or puerto rican specialties from la bruquena 
Neighborhood,": Ravenswood/Lincoln SquareThe spot: Winnemac Park has acres and acres of green space dotted with shady trees and weeping willows, perfect for an afternoon picnic. Along with plenty of spots to sit and eat, the park features a scenic prairie garden and nature trail filled with local wildflowers and plants. And the park is a short walk from the many Lincoln Avenue restaurants in Lincoln Square.Where to eat: Carry out mussels and fries from Hopleaf, sandwiches and bakery favorite from Cafe Selmarie, or Old World specialities from Gene’s Sausage Shop and Delicatessen.",picnic,, ravenswood lincoln squarethe spot winnemac park has acres and acres of green space dotted with shady trees and weeping willows perfect for an afternoon picnic along with plenty of spots to sit and eat the park features a scenic prairie garden and nature trail filled with local wildflowers and plants and the park is a short walk from the many lincoln avenue restaurants in lincoln square where to eat carry out mussels and fries from hopleaf sandwiches and bakery favorite from cafe selmarie or old world specialities from gene s sausage shop and delicatessen 
City Winery at the Chicago Riverwalk,"This outdoor wine garden has it all — wine on tap, artisanal cheese plates, beer, cocktails, a full food menu, and sweeping views of the Chicago River. At , you can sip on a glass of Riverwalk white, specialty cocktails, and local draft beers. Grab a table or order at the walk-up bar, then kick back and watch the boats drift past the iconic Marina Towers.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2019/06/CC_RIVERWALK_02-900x601.jpg,this outdoor wine garden has it all — wine on tap artisanal cheese plates beer cocktails a full food menu and sweeping views of the chicago river at you can sip on a glass of riverwalk white specialty cocktails and local draft beers grab a table or order at the walk up bar then kick back and watch the boats drift past the iconic marina towers 
Sweet Home Gelato,"Got a sweet tooth?  serves up hand-crafted gelato along the Chicago Riverwalk in the warmer months. Choose from a rotating array of freshly made gelatos and sorbets, like amaretto, chai tea, Nutella, panna cotta, and more. They also serve baked treats, shakes and floats, and coffee.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2018/07/RP_CITY_WINERY_29.jpg-900x601.jpg,got a sweet tooth serves up hand crafted gelato along the chicago riverwalk in the warmer months choose from a rotating array of freshly made gelatos and sorbets like amaretto chai tea nutella panna cotta and more they also serve baked treats shakes and floats and coffee 
Chicago Brewhouse,"is a waterfront restaurant and bar that celebrates Chicago’s thriving craft beer scene. They exclusively serve locally made beers, including options from Dovetail, Forbidden Root, Goose Island, Revolution, Half Acre, Begyle, and more. The food menu includes pub eats inspired by the city’s global neighborhoods, like the Devon Ave chicken tikka masala and the Pilsen street tacos.",riverwalk restaurants,,s a waterfront restaurant and bar that celebrates chicago s thriving craft beer scene they exclusively serve locally made beers including options from dovetail forbidden root goose island revolution half acre begyle and more the food menu includes pub eats inspired by the city s global neighborhoods like the devon ave chicken tikka masala and the pilsen street tacos 
O’Briens Riverwalk Café,"offers a sun-soaked patio, live music, and a menu filled with classic American fare with a hint of Ireland — choose from corned beef sandwiches, hot dogs, cobb salads, burgers, and more. The drink menu includes wine by the glass and bottle, domestic and imported beer, and a selection of cocktails.",riverwalk restaurants,https://cdn.choosechicago.com/uploads/2019/06/day-chicago-riverwalk-900x450.jpg,offers a sun soaked patio live music and a menu filled with classic american fare with a hint of ireland — choose from corned beef sandwiches hot dogs cobb salads burgers and more the drink menu includes wine by the glass and bottle domestic and imported beer and a selection of cocktails 
Beat Kitchen on the Riverwalk,"is an outpost of a popular music venue and restaurant in Roscoe Village. Located adjacent to DuSable Bridge,  serves carefully crafted food with fresh ingredients, including tacos, thin-crust pizza, and mac and cheese, along with a full-service bar. The patio offers views of some of Chicago’s most historic structures, like the Wrigley Building.",riverwalk restaurants,,s an outpost of a popular music venue and restaurant in roscoe village located adjacent to dusable bridge serves carefully crafted food with fresh ingredients including tacos thin crust pizza and mac and cheese along with a full service bar the patio offers views of some of chicago s most historic structures like the wrigley building 
