title,description,image,Source,category,text_cleaned
Weinberg Family Recreation Center,"Glencoe Park District’s outdoor refrigerated skating facility, operates (weather permitting) the day after Thanksgiving through February 25. This unique facility is ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/watts10_a9304fb6-5056-a348-3aa83ee4db68aae1.jpg",chicagonorthshore,family fun,glencoe park district outdoor refrigerated skating facility operates weather permitting day thanksgiving february unique facility
Wheeling Family Aquatic Center,"Make a SPLASH at the Wheeling Park District's Family Aquatic Center. Enjoy water playgrounds, water basketball, tube and body slides, drop slides, a zero depth pool,...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Wheeling_Family_Aquatic_Center1_a9375fdb-5056-a348-3ae90a80fe44a639.png",chicagonorthshore,family fun,make splash wheeling park district 's family aquatic center enjoy water playground water basketball tube body slide drop slide zero depth pool
Winnetka Beaches,"Over 23 acres of park land adjacent to scenic Lake Michigan. Operating three swim beaches (Elder Lane, Maple Street and Tower Road), one boat Launch and Sailing Cen...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Winnetka_Beaches1_a953d4e6-5056-a348-3a3a12cd52af07b9.png",chicagonorthshore,family fun,acre park land adjacent scenic lake michigan operating three swim beach elder lane maple street tower road one boat launch sailing cen
Winnetka Ice Arena,"Open September through May each year. Play hockey, practice your figure skating skills or enjoy a recreational skating or watch an Ice Show. The area features a fu...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Winnetka_Ice_Arena1_a94d94c2-5056-a348-3aaa6e87d1eb148d.png",chicagonorthshore,family fun,open september may year play hockey practice figure skating skill enjoy recreational skating watch ice show area feature fu
Winnetka Platform Tennis Facility and Paddle Hut,"Platform Tennis also known as paddle tennis is played outdoors in fall, winter and spring. The sport has many advantages: it’s easy to learn, it’s great exercise, it...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Winnetka_Winnekta_Platform_Tennis_and_Paddle_Hut1_a94d6d8e-5056-a348-3a2bb74011135760.png",chicagonorthshore,family fun,platform tennis also known paddle tennis played outdoors fall winter spring sport many advantage easy learn great exercise
Abt Electronics,"A family-run appliance and electronics store operating 350,000 square foot facility. Showcasing all the top brands. Virtually every brand name, high-end electronic p...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Abt_B5A6EC17-5056-BF65-D635F02594638F7B-b5a6eb945056bf6_b5a6f91b-5056-bf65-d6e13c404fda58fe.jpg",chicagonorthshore,Shopping,family run appliance electronics store operating square foot facility showcasing top brand virtually every brand name high end electronic p
Antiques & Porcelain by G.K.,"Gunther and Gerlinde Kornmesser have a passion for antiques, which was fostered at an early age by their families and continues to this day. GK’s encyclopedic knowle...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Antiques-by-GK_9EA0ADAB-5056-A348-3A70874905F62E88-9ea0acf95056a34_9ea0ae1f-5056-a348-3ada4de425e06775.jpg",chicagonorthshore,Shopping,gunther gerlinde kornmesser passion antique fostered early age family continues day gk encyclopedic knowle
Apricot Lane in the Glen,"This locally owned women’s boutique in The Glen Town Center carries a selection of clothing, accessories and gifts unique to any other location. The clothing is on-t...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Apricot-Lane_9F0EB00D-5056-A348-3AE8A6AF0D54586B-9f0eaeae5056a34_9f0eb068-5056-a348-3a661e91898b1418.jpg",chicagonorthshore,Shopping,locally owned woman boutique glen town center carry selection clothing accessory gift unique location clothing
Art Post Gallery,"Featuring the largest inventory of original art on the North Shore. Known for oil paintings, watercolors, etchings and vintage art by well-known artists from the Uni...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Art-post-gallery_A034EAEE-5056-A348-3ABCFE0F4F4A0CAC-a034ea915056a34_a034eb3c-5056-a348-3ade004e530e762e.jpg",chicagonorthshore,Shopping,featuring largest inventory original art north shore known oil painting watercolor etching vintage art well known artist uni
Artem Popup Gallery,"Owned and managed by artist Sarita Kamat and talented family, Artem is a handmade artisan gallery, showcasing beautiful jewelry, art, ceramics and pottery, woodwork,...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/ArtemPopUp0-95b91c785056a34_95b91d94-5056-a348-3ad0a9dae093f91e.jpg",chicagonorthshore,Shopping,owned managed artist sarita kamat talented family artem handmade artisan gallery showcasing beautiful jewelry art ceramic pottery woodwork
Artsy Heart,An eclectic shop of handcrafted art located at The Glen Town Center. Shop a wide variety of local artists and mediums from large paintings to jewelry to one-of-a-kin...,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/ArtsyHeart_29BF2A11-E0A0-3BD1-4FAD2AC191C94174-29bf284ff391019_29bf323e-a50b-3866-4756f4d04e4811f2.jpg",chicagonorthshore,Shopping,eclectic shop handcrafted art located glen town center shop wide variety local artist medium large painting jewelry one kin
Ayla's Originals,"When the bead shop where she purchased materials closed, this entrepreneur took a crazy chance and reopened it. The store is now a treasure trove of beads, gemstones...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Evanston_Aylas_Originals0_a97797da-5056-a348-3ac29fa4999ad0cb.png",chicagonorthshore,Shopping,bead shop purchased material closed entrepreneur took crazy chance reopened store treasure trove bead gemstone
BlackSheep General Store,"A general store selling gifts, housewares, baby items, spa products, jewelry, retro t-shirts, toys, and more with a focus on local, handmade, small batch merchandise...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/BlackSheep_0812F2A9-5056-A348-3A0F1F2B888A4478-0812f1c75056a34_0812f32e-5056-a348-3af2d9d6aae75f5f.jpg",chicagonorthshore,Shopping,general store selling gift housewares baby item spa product jewelry retro shirt toy focus local handmade small batch merchandise
The Book Stall at Chestnut Court,"A general trade book store with a reputation for trustworthy customer service and a highly popular monthly newsletter with a distribution of 8,500. Hosting many aut...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Winnetka_The_Book_Stall_at_Chestnut_Court1_a94fc3be-5056-a348-3af96421722fc448.png",chicagonorthshore,Shopping,general trade book store reputation trustworthy customer service highly popular monthly newsletter distribution hosting many aut
Bookends and Beginnings,"Located in Bookman’s Alley in the heart of downtown Evanston, Bookends & Beginnings is a cozy independent bookstore offering new and used books, unique gifts includi...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Evanston_Bookends_and_Beginnings20_a92cd320-5056-a348-3a3bed528a3f1d79.png",chicagonorthshore,Shopping,located bookman alley heart downtown evanston bookend beginning cozy independent bookstore offering new used book unique gift includi
The Bottle Shop,The Bottle Shop carries more than 400 bottles of wine and huge selection of craft beer. You will find tasting bar with a lounge that has couches where you can share...,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/BottleShop_5C3A5A12-5056-BF65-D62A365B110B9253-5c3a57ef5056bf6_5c3a641a-5056-bf65-d6604db543eaa78a.jpg",chicagonorthshore,Shopping,bottle shop carry bottle wine huge selection craft beer find tasting bar lounge couch share
Chalet Nursery,"One-stop destination for inspired landscape design, classically fresh products, curated home decor, and customer service that creates lifelong connections. Season af...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Chalet_7712F76F-5056-BF65-D63EA86565B30F12-7712f40e5056bf6_771302c8-5056-bf65-d6bae6956e74d016.jpg",chicagonorthshore,Shopping,one stop destination inspired landscape design classically fresh product curated home decor customer service creates lifelong connection season af
Chicago Botanic Garden Gift Shop,"Unique finds to delight gardeners, cooks, hosts, or personal-care enthusiasts of all ages. Collections include unique jewelry, along with the Garden’s custom collect...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/CBG_D91A1133-5056-A348-3A7CE9545E123089-d91a10055056a34_d91a11c3-5056-a348-3a94a6e6877c99af.jpg",chicagonorthshore,Shopping,unique find delight gardener cook host personal care enthusiast age collection include unique jewelry along garden custom collect
Children's Gift Shop,"Carrying the classic favorites as well as the new and unusual in toys, books, science, outdoor, arts, puzzles, games, travel, personalized gifts and more for infants...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Children_33CB0812-5056-A348-3A303C02D99BA146-33cb07505056a34_33cb086e-5056-a348-3acddc7b85ebfa73.jpg",chicagonorthshore,Shopping,carrying classic favorite well new unusual toy book science outdoor art puzzle game travel personalized gift infant
Commonwealth Running,"With a mission to expand the sport of running through our local community, Commonwealth Running Company has knocked down perceived barriers for new runners who want ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Common_D1F1C60D-5056-A348-3AA99B20752E519F-d1f1c52c5056a34_d1f1c65d-5056-a348-3af9b3cb1ff38f72.jpg",chicagonorthshore,Shopping,mission expand sport running local community commonwealth running company knocked perceived barrier new runner want
Convito Cafe & Market,"Gourmet Food & Wine Market offers an in-depth selection of prepared foods, with some focus on Italian fare, as well as other dishes from around the world. We have fr...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Convito-Market_10D808ED-5056-BF65-D646E028436FCC49-10d806f75056bf6_10d8122c-5056-bf65-d691ef8f19ef82c0.jpg",chicagonorthshore,Shopping,gourmet food wine market offer depth selection prepared food focus italian fare well dish around world fr
Cultivate Urban Rainforest & Gallery,"Cultivate is a lush urban rainforest and gathering place. Offering an art gallery featuring the work of world renowned as well as local artists, exotic plants labele...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/cultivate_A1C4F455-5056-BF65-D614335B8C668D9E-a1c4f2595056bf6_a1c4ff58-5056-bf65-d67a18759692a5ef.jpg",chicagonorthshore,Shopping,cultivate lush urban rainforest gathering place offering art gallery featuring work world renowned well local artist exotic plant labele
Dave's Down to Earth Rock Shop,"A shop and a pre-historic life museum showcasing one of the largest private rock collections on display in United States. Selling authentic fossils, colored minerals...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/DavesRockShop_A2002EB5-5056-BF65-D6FAED74344FF7DE-a2002c925056bf6_a2003835-5056-bf65-d6e147a3fa16de3c.jpg",chicagonorthshore,Shopping,shop pre historic life museum showcasing one largest private rock collection display united state selling authentic fossil colored mineral
Edward's Florist,Taking pride in using high-quality flowers that are in season for arrangements that are as stunningly unique as they are beautiful. Choose an artful arrangement from...,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Edwards-Florist_053A0329-5056-A348-3AFE3C7D330EED44-053a023f5056a34_053a037f-5056-a348-3a6bb1354714d0c7.jpg",chicagonorthshore,Shopping,taking pride using high quality flower season arrangement stunningly unique beautiful choose artful arrangement
Enaz for Life,A women's contemporary boutique located in the heart of Northfield. This mother/daughter store caters to women “on the go” varying in every shape and size! Stocking ...,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Enaz_31E36102-5056-A348-3AB14859DFF7EBA1-31e3605f5056a34_31e36154-5056-a348-3a03c75aa136764e.jpg",chicagonorthshore,Shopping,woman 's contemporary boutique located heart northfield mother daughter store caters woman “ go varying every shape size stocking
Erik's Bike & Board,"A premier bike, snowboard and ski store retailer for all of your bike, snowboard, downhill ski, bike repair and bike fitting needs. Road, mountain, electric, kids, ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Erik_D010C384-5056-A348-3A4546ABAC28F632-d010c2d95056a34_d010c3dc-5056-a348-3ac09d57f993f5f3.jpg",chicagonorthshore,Shopping,premier bike snowboard ski store retailer bike snowboard downhill ski bike repair bike fitting need road mountain electric kid
Evanston Made,"A community arts organization with a mission to increase awareness and engagement with Evanston Artists through events, programming, pop-ups, and a robust online pre...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/EvanstonMade_A230314E-5056-BF65-D69F6901DA1BA352-a2302ef15056bf6_a2303b29-5056-bf65-d6979ca49bcc3111.jpg",chicagonorthshore,Shopping,community art organization mission increase awareness engagement evanston artist event programming pop ups robust online pre
Eve Alfille Gallery and Studio,This award-winning artist and former archaeologist designs exquisite jewelry. The gallery is a frequent stop for jewelry lovers and now features an online store wher...,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/EveAfille_0DE48963-5056-BF65-D626BAC5E65240D0-0de488645056bf6_0de4913a-5056-bf65-d690e83d57b309b8.jpg",chicagonorthshore,Shopping,award winning artist former archaeologist design exquisite jewelry gallery frequent stop jewelry lover feature online store wher
Few Spirits,"Evanston's first and only distillery, Few Spirits has been crafting award-winning whiskeys and gins since 2011. Express delivery, no hassle shipping or you can just ...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Few_0B31EF5D-5056-A348-3A7606FC9226673E-0b31eec95056a34_0b31eff5-5056-a348-3ad03a5961e6f687.jpg",chicagonorthshore,Shopping,evanston 's first distillery spirit crafting award winning whiskey gin since express delivery hassle shipping
Follow Your Nose,"Celebrating 20 years in Evanston! Natural and organic pet foods, treats, accessories and hand-made baked goods, including cupcakes and birthday cakes for your dog! B...","https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/FollowYourNose0-1e50ea085056a34_1e50eb26-5056-a348-3a146a5dbcbaa826.jpg",chicagonorthshore,Shopping,celebrating year evanston natural organic pet food treat accessory hand made baked good including cupcake birthday cake dog b
Gearhead Outfitters,Equip yourself with what you need to enjoy all that the great outdoors has to offer! shop with Gearhead Outfitters for all your outdoor apparel and gear needs....,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fit,w_225,h_225/crm/cnscvb/Uncle_3A67716F-5056-A348-3A2D1E204818543B-3a6770905056a34_3a6771d5-5056-a348-3af0902ce3db4830.jpg",chicagonorthshore,Shopping,equip need enjoy great outdoors offer shop gearhead outfitter outdoor apparel gear need
