category,title,description,start_date,start_time,end_date,end_time,location,address,image_url
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Saturday, April 6th",5:00 p.m.,"Sunday, June 2nd",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Sunday, April 7th",5:00 p.m.,"Monday, June 3rd",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Thursday, April 11th",5:00 p.m.,"Friday, June 7th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
Theatre & Performing Arts,Brooklyn Laundry,"Fran is chronically single, has piles of bills, and finds Owen obnoxious. Owen has a bad back, runs a laundry, and thinks Fran is gloomy.…","Thursday, April 11th",7:30 p.m.,"Sunday, May 12th",5:30 p.m.,Northlight Theatre,"9501 Skokie Boulevard, Skokie, IL 60077, Skokie, Illinois, 60077",https://cdn.choosechicago.com/uploads/2023/09/brooklyn.png
"Festivals, Fairs & Special Events, Museums, Galleries & Exhibitions",ART on THE MART (Spring Season),"ART on THE MART’s spring season (April 12 – June 5) will kick off to coincide with EXPO Chicago’s 11th edition (April 8 –14, 2024) with…","Friday, April 12th",,"Wednesday, June 5th",,THE MART,222 W Merchandise Mart Pl,https://cdn.choosechicago.com/uploads/2023/12/city-of-chicago_903a761f15a9adb6558d075b41392079.webp
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Friday, April 12th",5:00 p.m.,"Saturday, June 8th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Saturday, April 13th",5:00 p.m.,"Sunday, June 9th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
Theatre & Performing Arts,Joe Turner’s Come and Gone,"A journey of self-discovery leads to salvation in this major revival of the Pulitzer Prize-winner’s masterwork. On the heels of Gem of the Ocean (2022), expert August…","Saturday, April 13th",7:30 p.m.,"Sunday, May 12th",7:30 p.m.,Goodman Theatre,170 N. Dearborn St.,https://cdn.choosechicago.com/uploads/2024/03/2324_JoeTurner_Calendar_Listings_Choose_1800x800-1-900x400.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Sunday, April 14th",5:00 p.m.,"Monday, June 10th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Thursday, April 18th",5:00 p.m.,"Friday, June 14th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Friday, April 19th",5:00 p.m.,"Saturday, June 15th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
Theatre & Performing Arts,The Secret Garden,"This enchanting classic of children’s literature is reimagined in brilliant musical style by composer Lucy Simon and Marsha Norman, the Pulitzer Prize-winning playwright of Night…","Friday, April 19th",7:30 p.m.,"Saturday, May 4th",10:30 p.m.,Jedlicka Performing Arts Center,"3801 S. Central Ave. , Cicero, IL, 60804",https://cdn.choosechicago.com/uploads/2023/09/the-secret-900x577.jpg
Theatre & Performing Arts,Barefoot in the Park,"Neil Simon’s romantic comedy about free spirit Corie and uptight lawyer Paul, who discover what love and marriage truly are. When the newlyweds invite Corie’s…","Friday, April 19th",7:30 p.m.,"Sunday, May 12th",5:00 p.m.,Saint Bonaventure Church,"1625 W. Diversey, Chicago, IL, 60614",https://cdn.choosechicago.com/uploads/2023/09/Barefoot-900x577.jpg
Sports & Recreation,West Town Wellness Week,"Save the dates for West Town Wellness Week, coming April 20-28! Participating businesses include salons and spas, fitness studios, wellness retail, and more who will…","Saturday, April 20th",12:00 a.m.,"Sunday, April 28th",11:59 p.m.,Online,,https://cdn.choosechicago.com/uploads/2024/04/67490.jpeg
"Museums, Galleries & Exhibitions","Images on which to build, 1970s-1990s","Images on which to build, 1970s-1990s presents a range of photographic practices that used the medium as a tool for collectivity and empowerment within interconnected…","Saturday, April 20th",10:00 a.m.,"Sunday, August 4th",5:00 p.m.,Chicago Cultural Center,"78 East Washington Street, 5th Floor",https://cdn.choosechicago.com/uploads/2024/02/images-900x400.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Saturday, April 20th",5:00 p.m.,"Sunday, June 16th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Sunday, April 21st",5:00 p.m.,"Monday, June 17th",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events, Museums, Galleries & Exhibitions, Tours & Attractions",Chicago Fashion Week powered by FashionBar LLC: South Asian Show,"CHICAGO – FashionBar is pleased to announce Chicago Fashion Week powered by FashionBar, scheduled from April 21st to April 28th 2024. The event kicks off…","Wednesday, April 24th",5:30 p.m.,,8:30 p.m.,Water Tower Place,821 N. Michigan Ave.,https://cdn.choosechicago.com/uploads/2024/01/6-2-900x452.png
Tours & Attractions,Tropical Wednesdays,"Immerge yourself in a cultural experience as Latin dances come alive on Taylor street – Salsa, Bachata, Cumbia, and Cha Cha Cha with margarita!","Wednesday, April 24th",6:00 p.m.,,8:00 p.m.,Vintage Bar Chicago,1449 W. Taylor St.,https://cdn.choosechicago.com/uploads/2022/03/274601916_4791835167604175_3592429305962627979_n-900x600.jpg
"Festivals, Fairs & Special Events",Tracey Garvis Graves and Rochelle Weinstein: In-Conversation with Lauren Margolin,"The Book Stall (811 Elm Street in Winnetka) is so pleased to host authors Tracey Garvis Graves and Rochelle Weinstein on Wednesday, April 24th at 6:30 PM.…","Wednesday, April 24th",6:30 p.m.,,7:30 p.m.,The Book Stall,"The Book Stall, 811 Elm Street",https://cdn.choosechicago.com/uploads/2024/03/romance-trpl-900x480.jpg
Sports & Recreation,Chicago Cubs vs. Houston Astros,Come cheer on the Cubs!,"Wednesday, April 24th",6:40 p.m.,,9:00 p.m.,Wrigley Field,1060 West Addison Street,https://cdn.choosechicago.com/uploads/2024/04/Chicago-Cubs1-900x506.png
Theatre & Performing Arts,CBS Survivor Watch Party,"Come watch this season of the infamous reality competition show with the host of iO’s Improvised Survivor, Keiter Liriano. Wednesdays 7P (doors at 6:30P) Free admission…","Wednesday, April 24th",7:00 p.m.,,9:00 p.m.,iO Theater,1501 N. Kingsbury St.,https://cdn.choosechicago.com/uploads/2024/04/Survivor-Watch-Party.png
Theatre & Performing Arts,How I Learned What I Learned,Broadway In Chicago is excited to join Congo Square Theatre Company in announcing its continued 25th Anniversary celebration with the Chicago premiere of HOW I LEARNED…,"Wednesday, April 24th",7:00 p.m.,,9:00 p.m.,Broadway Playhouse at Water Tower Place,175 E. Chestnut St,https://cdn.choosechicago.com/uploads/2024/04/HILWIL-IG-Dates-1080x1080-HL-700x700-1.jpg
Theatre & Performing Arts,Beautiful: The Carole King Musical,"Before she was the Carole King we know today, she was a young songwriter from Brooklyn trying to make a name for herself. Beautiful –…","Wednesday, April 24th",7:00 p.m.,"Sunday, June 16th",8:00 p.m.,Paramount Theatre,"23 E. Galena Blvd., Aurora, IL, 60506",https://cdn.choosechicago.com/uploads/2023/09/1280x820-Beautiful-900x577.jpg
Theatre & Performing Arts,Black Bear Island by Karissa Murrell Myers,"Hello,   We would like to add our listing to Theatre In Chicago:     “BLACK BEAR ISLAND” BY KARISSA MURRELL MYERS Co-produced in partnership with Silk…","Wednesday, April 24th",7:30 p.m.,,9:00 p.m.,Stage Center Theatre at Northeastern Illinois University,3701 W Bryn Mawr Ave,https://cdn.choosechicago.com/uploads/2024/04/Black-Bear-Island-darker-no-spots-555x800.jpg
Theatre & Performing Arts,Chicago Shakespeare Theater: Judgment Day,"“Landing all the jokes… Moritz von Stuelpnagel tackles darkly funny materials with a shrewd balance of heightened reality, warped sitcom & underlying pathos” –Hollywood Reporter Emmy and Tony…","Wednesday, April 24th",7:30 p.m.,,9:30 p.m.,Chicago Shakespeare Theatre,800 E Grand Ave,https://cdn.choosechicago.com/uploads/2024/03/Judgment-Day-900x252.jpg
Theatre & Performing Arts,GDC: “Season 61 | UNLIMITED!” Spring Harris Theater Engagement,"Giordano Dance Chicago, America’s original jazz dance company, presents their spring engagement at the Harris Theater for Music and Dance, 205 E. Randolph St. at…","Wednesday, April 24th",7:30 p.m.,,9:30 p.m.,The Harris Theater for Music and Dance,"205 E. Randolph, Chicago, IL, 60601",https://cdn.choosechicago.com/uploads/2024/03/Pictured-Fernando-Rodriguez-and-Sasha-Lazarus.-Photo-by-Todd-Rosenberg.--900x571.jpg
"Music & Comedy, Theatre & Performing Arts",Jazz at Lincoln Center Orchestra with Wynton Marsalis,A night commemorating the 125th anniversary of Duke Ellington’s birth. The legendary Jazz at Lincoln Center Orchestra consists of 15 of the world’s finest ensemble…,"Wednesday, April 24th",8:00 p.m.,,10:00 p.m.,Chicago Symphony Center,220 S Michigan Ave,https://cdn.choosechicago.com/uploads/2023/10/web_scp_jazz_1500x1125-7-900x497.jpeg
Music & Comedy,Nicki Minaj – Pink Friday 2 World Tour,"The one and only Queen of Hip-Hop Nicki Minaj is bringing her Pink Friday 2 World Tour to Chicago at the United Center, for two…","Wednesday, April 24th",8:00 p.m.,,11:00 p.m.,United Center,1901 W Madison St.,https://cdn.choosechicago.com/uploads/2024/02/Nicki-Minaj-Pink-Friday-2-Tour-900x506.jpg
"Music & Comedy, Theatre & Performing Arts",Hooch & Holler Comedy Show,Every Wednesday The Best Speakeasy In Chicago Hosts The Hottest Comedians The City Has To Offer! Indulge In Our Amazing Craft Cocktails And Enjoy An…,"Wednesday, April 24th",9:00 p.m.,,11:00 p.m.,Bordel Cocktail & Cabaret,1721 W Division,https://cdn.choosechicago.com/uploads/2024/03/Hooch-Holler-Reader-Post-900x754.png
Theatre & Performing Arts,Babes With Blades Theatre Company’s The S Paradox,"CHICAGO – Babes With Blades Theatre Company’s (BWBTC) 2024 season opens with The S Paradox, written by Joining Sword & Pen International Playwright Competition and…","Thursday, April 25th",,,,The Factory Theater,"1623 W. Howard St. , Chicago, IL, 60626",https://cdn.choosechicago.com/uploads/2024/03/S-Paradox-Thumbnail-800x800.jpg
"Festivals, Fairs & Special Events, Theatre & Performing Arts",Cirque Italia Water Circus,HAVE YOU EVER HAD SUCH A VIVID DREAM YOU THOUGHT IT WAS REAL? Cirque Italia has pulled out all the stops this year to take…,"Thursday, April 25th",,"Sunday, April 28th",,orland square,288 orland square dr,https://cdn.choosechicago.com/uploads/2024/03/Gold-Show-Digital-Coupon-Orland-Park-IL-767x800.jpg
Theatre & Performing Arts,Teatro ZinZanni Welcomes Series of New Cast Members to the Spiegeltent Stage for a Limited Installment During the Spring Season,"Behind the velvet curtain lies Teatro ZinZanni, tucked up high inside a marvelously mirrored Spiegeltent within the historic Cambria Hotel, 32 W. Randolph St. in…","Thursday, April 25th",8:00 a.m.,,5:00 p.m.,Teatro ZinZanni Chicago,32 West Randolph Street,https://cdn.choosechicago.com/uploads/2024/04/image001-900x613.png
"Museums, Galleries & Exhibitions",Nina Irwin | Thank You Notes,"EXHIBITION DATES: February 24 – March 31, 2024 OPENING RECEPTION: February 25, 2024, 1–4 pm, with an Artist Talk at 2 pm GALLERY HOURS: Monday–Thursday,…","Thursday, April 25th",9:00 a.m.,,4:00 p.m.,Evanston Art Center,1717 Central Street,https://cdn.choosechicago.com/uploads/2024/01/NIrwin_webgraphic-900x507.jpg
"Museums, Galleries & Exhibitions",Wild World: Miracles in Conservation,"Now open! Get up close to geckos, ferrets, chinchillas, poison dart frogs, and more in Wild World: Miracles in Conservation! Visitors of all ages will…","Thursday, April 25th",10:00 a.m.,,4:00 p.m.,Peggy Notebaert Nature Museum,2430 N. Cannon Dr.,https://cdn.choosechicago.com/uploads/2024/03/IMG_7476-900x600.jpg
Tours & Attractions,BRICK-Tastic Spring Break at LEGOLAND Discovery Center Chicago,"Spring Break memories will last a lifetime at the ultimate indoor LEGO® playground! Jump into a world of creativity, color and playful learning at LEGOLAND…","Thursday, April 25th",10:00 a.m.,,5:00 p.m.,LEGOLAND Discovery Center Chicago,601 N. Martingale Road,https://cdn.choosechicago.com/uploads/2024/03/fkopjrLPskyfzB6jHg_roA.large_.jpg
"Museums, Galleries & Exhibitions",Dark Testament: A Century of Black Writers on Justice,"This immersive exhibit, extended through May 6, 2024, explores racial injustice in America through the work of Black American writers from the end of the…","Thursday, April 25th",10:00 a.m.,,5:00 p.m.,American Writers Museum,180 N. Michigan Ave.,https://cdn.choosechicago.com/uploads/2023/10/GetLitSD038_PhotoCreditNikkiGeslani-1_Resized-900x601.jpg
"Festivals, Fairs & Special Events",Play Unstoppable Festival,It’s time for a day of Unstoppable LEGO® Play! Join us as our LEGOLAND® Discovery Center gets taken over by the Play Unstoppable Festival. Be part of…,"Thursday, April 25th",10:00 a.m.,,5:00 p.m.,LEGOLAND Discovery Center Chicago,601 N. Martingale Road,https://cdn.choosechicago.com/uploads/2024/03/MV0XWyO9QUOV-WeQWkwR6Q.large_.jpg
"Museums, Galleries & Exhibitions",Spring Flower Show: What’s In A Name?,"This year’s Spring Flower Show, What’s in a Name?, explains the history and science of botanical nomenclature alongside a beautiful flower show full of blooms.  Plant names are an…","Thursday, April 25th",10:00 a.m.,,5:00 p.m.,Garfield Park Conservatory,300 N. Central Park Ave.,https://cdn.choosechicago.com/uploads/2024/02/garfield-park.jpeg
"Museums, Galleries & Exhibitions",“Moscoso Cosmos: The Visual Universe of Victor Moscoso”,"Instituto Cervantes of Chicago (31 W. Ohio St.), the city’s leading not-for-profit center for Spanish language and cultural exchange, today hosts “Moscoso Cosmos: The Visual…","Thursday, April 25th",10:00 a.m.,,6:00 p.m.,Instituto Cervantes,"31 W. Ohio St. , Chicago, IL, 60654",https://cdn.choosechicago.com/uploads/2024/03/08_head_hunters-horizontal-b-900x587.jpg
"Museums, Galleries & Exhibitions",Titanic: The Exhibition,"⭐ Titanic: The Exhibition is making its way to Westfield Old Orchard in Chicago after a sold-out run in Macau, Moscow, Riga Latvia, Perth, Sydney, and LA.…","Thursday, April 25th",10:00 a.m.,,6:00 p.m.,Westfield Old Orchard (West Lot),4999 Old Orchard Shopping Center,https://cdn.choosechicago.com/uploads/2024/02/1-10.png
Theatre & Performing Arts,Beauty and the Beast,"Chicago Kids Company – Theater for Children (CKC) presents Beauty and the Beast.  Don’t miss Chicago Kids Company’s newest show! Full of comedy, romance, and…","Thursday, April 25th",10:30 a.m.,,11:30 a.m.,Beverly Arts Center,2407 W. 111th Street,https://cdn.choosechicago.com/uploads/2023/12/BeautyBeast2-medium-725x800.jpeg
"Festivals, Fairs & Special Events",Local on Lincoln Artisian Market,"JOIN US FOR AN INDOOR POP-UP MARKET IN THE RETAIL SPACE AT 3169 N LINCOLN, ON THE CORNER OF BELMONT AND LINCOLN FROM 11AM-4PM A…","Thursday, April 25th",11:00 a.m.,,4:00 p.m.,3169 N. Lincoln Ave,3169 N. Lincoln Ave,https://cdn.choosechicago.com/uploads/2024/03/LRVC-LOL-FinalLogo-1-1-900x695.jpg
"Festivals, Fairs & Special Events",Local on Lincoln Artisian Market,"JOIN US FOR AN INDOOR POP-UP MARKET IN THE RETAIL SPACE AT 3169 N LINCOLN, ON THE CORNER OF BELMONT AND LINCOLN FROM 11AM-4PM A…","Thursday, April 25th",11:00 a.m.,,4:00 p.m.,3169 N. Lincoln Ave,3169 N. Lincoln Ave,https://cdn.choosechicago.com/uploads/2024/03/LRVC-LOL-FinalLogo-1-900x695.jpg
"Museums, Galleries & Exhibitions, Theatre & Performing Arts",New Monuments | Chicago Brendan Fernandes,"Envisioned as the first in a series of interventions that engage monuments in and outside of the United States, New Monuments | Chicago by Brendan Fernandes seeks…","Thursday, April 25th",11:00 a.m.,,5:00 p.m.,Grant Park,Chicago,https://cdn.choosechicago.com/uploads/2024/03/General-John-Alexander-Logan-Monument-Grant-Park-Chicago-IL.-Courtesy-the-artist-and-Black-Cube-Nomadic-Art-Museum-600x800.jpg
Sports & Recreation,Chicago Cubs vs. Houston Astros,Come cheer on the Cubs!,"Thursday, April 25th",1:20 p.m.,,4:00 p.m.,Wrigley Field,1060 West Addison Street,https://cdn.choosechicago.com/uploads/2024/04/Chicago-Cubs1-900x506.png
Music & Comedy,Tea Time Concert: Piano Program Showcase,"Musicians from the Piano Program present a recital of works for solo piano. Tea and cookies are served at 4:15 PM, and the music begins…","Thursday, April 25th",4:30 p.m.,,,"Fulton Recital Hall, Goodspeed Hall",1010 E. 59th St.,https://cdn.choosechicago.com/uploads/2024/04/Screenshot-2024-04-16-at-1.21.43 PM-900x596.png
"Festivals, Fairs & Special Events",Enjoy Outdoor Dining at Komo,"A Japanese fine dining destination on West Loop’s Restaurant Row, located at 738 W Randolph St., Chicagoans are invited to take their taste buds on…","Thursday, April 25th",5:00 p.m.,,,Komo,738 W Randolph Street,https://cdn.choosechicago.com/uploads/2024/04/Screenshot-2024-04-23-114518.png
"Museums, Galleries & Exhibitions","“DISARM, Everyday Violence, Every Day” Exhibition at Weinberg/Newton Gallery","After nine years of serving the Chicago community as a non-commercial gallery dedicated to promoting social justice causes through art and programming, Weinberg/Newton Gallery is…","Thursday, April 25th",5:00 p.m.,,7:00 p.m.,Weinberg/Newton Gallery,688 N. Milwaukee Avenue,https://cdn.choosechicago.com/uploads/2023/06/Carlos-Javier-Ortiz-We-All-We-Got-2009-2023-vinyl-window-installation-900x602.png
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Thursday, April 25th",5:00 p.m.,"Friday, June 21st",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events, Museums, Galleries & Exhibitions, Tours & Attractions",Chicago Fashion Week powered by FashionBar LLC: Trans Media Fashion Show,"CHICAGO – FashionBar is pleased to announce Chicago Fashion Week powered by FashionBar, scheduled from April 21st to April 28th 2024. The event kicks off…","Thursday, April 25th",5:30 p.m.,,8:30 p.m.,Water Tower Place,821 N. Michigan Ave.,https://cdn.choosechicago.com/uploads/2024/01/7-900x452.png
"Festivals, Fairs & Special Events",Best of Chicago Celebration,It’s time to celebrate the very best! The Chicago Reader is thrilled to host the iconic “Best of Chicago” event at Lincoln Park Zoo. This…,"Thursday, April 25th",5:30 p.m.,,10:00 p.m.,Lincoln Park Zoo,Chicago,https://cdn.choosechicago.com/uploads/2024/03/KingJ062023_R1_010-positive-900x679.jpg
"Festivals, Fairs & Special Events",Chicago Reader’s Best of Chicago Celebration 2024,What can you expect: – Live entertainment and performances featuring Best of Chicago winners – Pop-up bars throughout the zoo with food and beverage for…,"Thursday, April 25th",5:30 p.m.,,10:00 p.m.,Lincoln Park Zoo,Chicago,https://cdn.choosechicago.com/uploads/2024/04/555-900x400.jpg
"Music & Comedy, Theatre & Performing Arts",Teatro Zinzanni,"Tickets are on sale Now at https://zinzanni.com/chicago/ for Love, Chaos, & Dinner ! Teatro Zinzanni returns to the vibrant Chicago Loop inside the velvet walls…","Thursday, April 25th",6:00 p.m.,,10:00 p.m.,Spiegeltent – Cambria Hotel,32 W. Randolph,https://cdn.choosechicago.com/uploads/2024/02/ChicagoPlaysFacebookKeyArt-900x473.jpg
Theatre & Performing Arts,Teatro ZinZanni Welcomes Series of New Cast Members to the Spiegeltent Stage for a Limited Installment During the Spring Season,"Behind the velvet curtain lies Teatro ZinZanni, tucked up high inside a marvelously mirrored Spiegeltent within the historic Cambria Hotel, 32 W. Randolph St. in…","Thursday, April 25th",7:00 p.m.,,,Teatro ZinZanni Chicago,32 West Randolph Street,https://cdn.choosechicago.com/uploads/2024/04/image001-900x613.png
,Meet Cute: A Comedy Dating Show,Looking for your next love story or a fun way to meet your next hookup? Sick of meeting people on the apps and looking for…,"Thursday, April 25th",7:00 p.m.,,8:00 p.m.,The Second City,"230 W North Ave., 2nd Floor",https://cdn.choosechicago.com/uploads/2024/02/Web-Graphic-900x514.jpg
Theatre & Performing Arts,How I Learned What I Learned,Broadway In Chicago is excited to join Congo Square Theatre Company in announcing its continued 25th Anniversary celebration with the Chicago premiere of HOW I LEARNED…,"Thursday, April 25th",7:00 p.m.,,9:00 p.m.,Broadway Playhouse at Water Tower Place,175 E. Chestnut St,https://cdn.choosechicago.com/uploads/2024/04/HILWIL-IG-Dates-1080x1080-HL-700x700-1.jpg
