title,description,personas,category,text_cleaned_lemmatized,image_url,text_cleaned,website
boat cruise options in Chicago,"Check out more , including architecture tours, fast-paced thrill rides, and sightseeing cruises.",couple,dinner cruises,check out more including architecture tours fast paced thrill rides and sightseeing cruises ,,,choosechicago
BOKA,": In Lincoln Park,  serves their award-winning cuisine on the tucked-away back patio, complete with twinkling lights and lots of foliage.

has earned a Michelin star every year since 2011 thanks to its exceptional hospitality and award-winning seasonal American cuisine. Featuring stylish dining rooms that blend modern and vintage decor, this high-end Lincoln Park establishment crafts unforgettable farm-to-table dishes using locally sourced ingredients.",couple,romantic and outdoor," in lincoln park serves their award winning cuisine on the tucked away back patio complete with twinkling lights and lots of foliage 

has earned a michelin star every year since  thanks to its exceptional hospitality and award winning seasonal american cuisine featuring stylish dining rooms that blend modern and vintage decor this high end lincoln park establishment crafts unforgettable farm to table dishes using locally sourced ingredients ",https://cdn.choosechicago.com/uploads/2019/05/ebk_20140213_boka_interior_high_0002_c2c374fa-8c07-4596-8c88-1b5bf9721935-e1563989923853-900x569.jpg,,choosechicago
BomboBar,"After dinner, walk to , a popular walk-up window serving over-the-top desserts all year long.",couple,romantic weekend,after dinner walk to a popular walk up window serving over the top desserts all year long ,,,choosechicago
Broadway in Chicago,"brings hit musicals, world premieres, and more exciting productions to Chicago stages. Check the schedule for family-friendly programming like Peter Pan, The Lion King, Beauty and the Beast, and more.",family,,brings hit musical world premiere exciting production chicago stage check schedule family friendly programming like peter pan lion king beauty beast,,,choosechicago
Bronzeville Children’s Museum ,"The is the first African American children’s museum in the country. It’s filled with exhibits for children aged 3 to 9, with a unique tour format that ensures kids get maximum educational value from each exhibit.",family,,first african american child museum country filled exhibit child aged unique tour format ensures kid get maximum educational value exhibit,,,choosechicago
Bronzeville Winery,"This chic spot in the historic Bronzeville neighborhood features curated art on the walls, live music and DJ residencies, and a rotating wine list featuring women, minority, and Black winemakers The menu at  is perfect for sharing, with smaller bites and larger plates featuring elevated and innovative cuisine. The laidback patio features both lounge space and an outdoor dining area.

Warm, spacious, and community-focused,  stands out with fresh contemporary American fare and a curated wine list highlighting labels owned by women and minority-owned producers. Located in a historic neighborhood, this chic restaurant and wine bar showcases talented DJs and live musicians weekly.",couple,romantic and outdoor,"this chic spot in the historic bronzeville neighborhood features curated art on the walls live music and dj residencies and a rotating wine list featuring women minority and black winemakers the menu at is perfect for sharing with smaller bites and larger plates featuring elevated and innovative cuisine the laidback patio features both lounge space and an outdoor dining area 

warm spacious and community focused stands out with fresh contemporary american fare and a curated wine list highlighting labels owned by women and minority owned producers located in a historic neighborhood this chic restaurant and wine bar showcases talented djs and live musicians weekly ",https://cdn.choosechicago.com/uploads/2024/03/20OCT23_Skalawag_ChooseBronzeville_BronzevilleWinery_144-scaled-e1712242520197-900x528.jpg,,choosechicago
Brookfield Zoo,"is set within a 216-acre nature park. World-renowned, the zoo’s 2,000+ residents have captivated and educated visitors since 1934. Don’t forget to take in a dolphin show at Seven Seas, and sign up for seasonal giraffe feedings, penguin encounters, and education-focused animal kingdom experiences.",family,,set within acre nature park world renowned zoo resident captivated educated visitor since forget take dolphin show seven sea sign seasonal giraffe feeding penguin encounter education focused animal kingdom experience,,,choosechicago
brunch and lunch cruises,"If you’re looking for something more casual,  are a great way to go. You can sip mimosas while admiring architecture on the Chicago River or watch the sun sparkle off the waters of Lake Michigan. A brunch or lunch cruise may include a delicious buffet-style or plated meal, bottomless mimosas, picturesque views, and DJ entertainment. Some cruises include informational narration so you can learn more about the city’s iconic skyscrapers and landmarks as you enjoy your meal.",couple,dinner cruises,if you re looking for something more casual are a great way to go you can sip mimosas while admiring architecture on the chicago river or watch the sun sparkle off the waters of lake michigan a brunch or lunch cruise may include a delicious buffet style or plated meal bottomless mimosas picturesque views and dj entertainment some cruises include informational narration so you can learn more about the city s iconic skyscrapers and landmarks as you enjoy your meal ,https://cdn.choosechicago.com/uploads/2023/03/c4a21370-4a05-4b08-b545-b7965cb3145a-900x630.jpeg,,choosechicago
Cabana Club,": Atop The Robey hotel in the heart of Wicker Park,  offers a panoramic view of the city skyline, a rooftop pool, and frozen cocktails.",couple,outdoor dining, atop the robey hotel in the heart of wicker park offers a panoramic view of the city skyline a rooftop pool and frozen cocktails ,,,choosechicago
Caffe Olivia,"Tucked away on the calm shores of Oak Street Beach, the beachfront  offers a casual menu and sweeping lake views in a charming atmosphere. Food options include fresh salads topped with grilled calamari, fish tacos, coconut shrimp, and more. The patio welcomes dogs and even serves a burger patty just for your furry companion.",couple,waterfront restaurants,tucked away on the calm shores of oak street beach the beachfront offers a casual menu and sweeping lake views in a charming atmosphere food options include fresh salads topped with grilled calamari fish tacos coconut shrimp and more the patio welcomes dogs and even serves a burger patty just for your furry companion ,https://cdn.choosechicago.com/uploads/2019/05/beach_cabanas_0d003de3-b79d-4e23-9d15-1f6591bea1a3-1-750x500.jpg,,choosechicago
Chef Art Smith’s Reunion,"Also at Navy Pier,  serves contemporary Southern fare on their spacious patio.",couple,outdoor dining,also at navy pier serves contemporary southern fare on their spacious patio ,,,choosechicago
Chicago Athletic Association,"Just across Michigan Avenue, you’ll find the . This hip hotel, located in a historic building, is home to several hot spots that are popular with visitors and locals alike. Take the elevators up to Cindy’s, the rooftop bar and restaurant. Order a cocktail and enjoy the sweeping views of Millennium Park and Lake Michigan.",couple,romantic weekend,just across michigan avenue you ll find the this hip hotel located in a historic building is home to several hot spots that are popular with visitors and locals alike take the elevators up to cindy s the rooftop bar and restaurant order a cocktail and enjoy the sweeping views of millennium park and lake michigan ,,,choosechicago
Chicago Botanic Garden,"Visit a living plant museum at the , located on the grounds of the Forest Preserves of Cook County in the Chicago suburb of Glencoe. Intermingled among its themed gardens and natural areas are The Greenhouses, home to fragrant flowering, edible, and utilitarian plants in environments such as tropical rainforest and hot desert. This is also where you’ll find the popular annual Orchid Show, held February through March. , 1000 Lake Cook Road, Glencoe",couple,indoor gardens,visit a living plant museum at the located on the grounds of the forest preserves of cook county in the chicago suburb of glencoe intermingled among its themed gardens and natural areas are the greenhouses home to fragrant flowering edible and utilitarian plants in environments such as tropical rainforest and hot desert this is also where you ll find the popular annual orchid show held february through march  lake cook road glencoe,https://cdn.choosechicago.com/uploads/2019/06/Chicago-Botanic-GardenCarillon-Concert-Seriescarillon-concert-08853L-1.jpg,,choosechicago
Chicago Brewhouse,"is a waterfront restaurant and bar that celebrates Chicago’s thriving craft beer scene. They exclusively serve locally made beers, including options from Dovetail, Forbidden Root, Goose Island, Revolution, Half Acre, Begyle, and more. The food menu includes pub eats inspired by the city’s global neighborhoods, like the Devon Ave chicken tikka masala and the Pilsen street tacos.",couple,riverwalk restaurants,s a waterfront restaurant and bar that celebrates chicago s thriving craft beer scene they exclusively serve locally made beers including options from dovetail forbidden root goose island revolution half acre begyle and more the food menu includes pub eats inspired by the city s global neighborhoods like the devon ave chicken tikka masala and the pilsen street tacos ,,,choosechicago
Chicago Children’s Theatre,"For two decades,  has presented a year-round schedule of plays, classes, and camps designed to inspire curiosity in kids and families.

Kids can stretch out, crawl, and use all five senses throughout interactive exhibits such as WaterWays, Dinosaur Expedition, and Treehouse Trails. Best of all, the is located at Navy Pier — a goldmine of family-friendly things to do on Chicago’s scenic lakefront.",family,,"two decade presented year round schedule play class camp designed inspire curiosity kid family

kid stretch crawl use five sens throughout interactive exhibit waterway dinosaur expedition treehouse trail best located navy pier goldmine family friendly thing chicago scenic lakefront",,,choosechicago
Chicago Distilling Company,"Visit Logan Square’s  for a tour to learn how the third-generation distillers turn locally farmed grain into vodka, whiskey, and award-winning gin. You’ll find Emporium Arcade Bar just next door, where you can challenge your date to a match on one of the 24 arcade games, 13 pinball machines, or six pool tables.",couple,date night ideas,visit logan square s for a tour to learn how the third generation distillers turn locally farmed grain into vodka whiskey and award winning gin you ll find emporium arcade bar just next door where you can challenge your date to a match on one of the  arcade games  pinball machines or six pool tables ,https://cdn.choosechicago.com/uploads/2019/05/CH-Longman-900x599.png,,choosechicago
Chicago History Museum,"Climb aboard the very first ‘L’ train car, ride a high-wheel bicycle, hear the Great Chicago Fire, catch a fly ball at Comiskey Park, smell the Union Stock Yard, dive into a giant Chicago-style hot dog — all at the .",family,,climb aboard first ‘ l train car ride high wheel bicycle hear great chicago fire catch fly ball comiskey park smell union stock yard dive giant chicago style hot dog,,,choosechicago
Chicago Riverwalk ,"If it’s getting dark, grab a spot on the scenic and watch the night light up with Art on theMART, a massive digital art display that projects stunning, original videos onto the river-facing facade of theMART. While you’re there, grab a pre-dinner drink at City Winery or Tiny Tapp right on the river.",couple,romantic weekend,if it s getting dark grab a spot on the scenic and watch the night light up with art on themart a massive digital art display that projects stunning original videos onto the river facing facade of themart while you re there grab a pre dinner drink at city winery or tiny tapp right on the river ,,,choosechicago
Chicago Sports Museum ,"The combines high-tech interactivity with unique sports memorabilia and an impressive collection of game-used treasures and other artifacts. Kids can test their skills against some of the all-time greats, use CSI-type technology to unravel some of Chicago’s most infamous sports mysteries, step into a replica broadcast booth and call a game just like Harry Caray, and so much more.",family,,combine high tech interactivity unique sport memorabilia impressive collection game used treasure artifact kid test skill time great use csi type technology unravel chicago infamous sport mystery step replica broadcast booth call game like harry caray much,,,choosechicago
Chicago Water Sport Rentals,"Thrill-seekers can get their fix with watersports on Lake Michigan, from stand-up paddleboarding with ChicagoSUP at North Avenue Beach to flyboarding at 31st Street Harbor with . Or rent some wheels from Bike and Roll Chicago and leisurely pedal along the Chicago Lakefront Trail that hugs the curves of the shoreline.",couple,waterfronts,thrill seekers can get their fix with watersports on lake michigan from stand up paddleboarding with chicagosup at north avenue beach to flyboarding at st street harbor with or rent some wheels from bike and roll chicago and leisurely pedal along the chicago lakefront trail that hugs the curves of the shoreline ,https://cdn.choosechicago.com/uploads/2019/06/Art_on_theMART_80233741-0324-4d9d-b831-9a1a76731390.jpg,,choosechicago
Chicago’s rooftop bars and restaurants,"If you’re looking for outdoor dining with a view, check out , restaurants on the Chicago Riverwalk, and beachfront dining options on Lake Michigan.",couple,outdoor dining,if you re looking for outdoor dining with a view check out restaurants on the chicago riverwalk and beachfront dining options on lake michigan ,,,choosechicago
City of Chicago Christmas Tree,"During the winter, the park is home to the official , along with fun and festive events like a holiday artisan market.",couple,MillenniumPark,during the winter the park is home to the official along with fun and festive events like a holiday artisan market ,,,choosechicago
City Winery at the Chicago Riverwalk,"This outdoor wine garden has it all — wine on tap, artisanal cheese plates, beer, cocktails, a full food menu, and sweeping views of the Chicago River. At , you can sip on a glass of Riverwalk white, specialty cocktails, and local draft beers. Grab a table or order at the walk-up bar, then kick back and watch the boats drift past the iconic Marina Towers.",couple,riverwalk restaurants,this outdoor wine garden has it all — wine on tap artisanal cheese plates beer cocktails a full food menu and sweeping views of the chicago river at you can sip on a glass of riverwalk white specialty cocktails and local draft beers grab a table or order at the walk up bar then kick back and watch the boats drift past the iconic marina towers ,https://cdn.choosechicago.com/uploads/2019/06/CC_RIVERWALK_02-900x601.jpg,,choosechicago
Clock Tower Café,"The striking English Gothic clock tower that sits along the lakefront at Waveland is home to the . The casual spot is popular with those playing on the nearby tennis courts and golf course, but all are welcome to enjoy cold drinks and a casual menu. Choose from burgers, salads, sandwiches, and hot dogs, plus your choice of seating on two different patios.",couple,waterfront restaurants,the striking english gothic clock tower that sits along the lakefront at waveland is home to the the casual spot is popular with those playing on the nearby tennis courts and golf course but all are welcome to enjoy cold drinks and a casual menu choose from burgers salads sandwiches and hot dogs plus your choice of seating on two different patios ,,,choosechicago
ComedySportz,"’s interactive 90-minute show has kids in stitches as two teams compete for laughs during improvised comedy scenes, songs, and games. Geared toward all ages, this is a great way to get kids in on the act, with audience suggestions as the actors’ inspiration.",family,,interactive minute show kid stitch two team compete laugh improvised comedy scene song game geared toward age great way get kid act audience suggestion actor inspiration,,,choosechicago
Community Marketplace,"The  on the Chicago Riverwalk is a space to promote small local businesses and give Riverwalk visitors a taste of Chicago’s diverse neighborhoods. The rotating array of vendors includes locallt owned restaurants, boutiques, specialty shops, and more.",couple,riverwalk restaurants,the on the chicago riverwalk is a space to promote small local businesses and give riverwalk visitors a taste of chicago s diverse neighborhoods the rotating array of vendors includes locallt owned restaurants boutiques specialty shops and more ,,,choosechicago
dinner cruise on Lake Michigan,"A  is truly magical. You’ll be dining aboard an elegant multi-level yacht with a climate-controlled interior and an outdoor observation deck where you can watch the sunset against the Chicago skyline. Enjoy picture-perfect moments as you sail past iconic landmarks like the Willis Tower, Buckingham Fountain, and the Adler Planetarium.",couple,dinner cruises,a is truly magical you ll be dining aboard an elegant multi level yacht with a climate controlled interior and an outdoor observation deck where you can watch the sunset against the chicago skyline enjoy picture perfect moments as you sail past iconic landmarks like the willis tower buckingham fountain and the adler planetarium ,https://cdn.choosechicago.com/uploads/2021/06/738496a4-df6d-455f-bb77-f8faeb6966ee-900x630.jpeg,,choosechicago
Dinner cruises along the Chicago River,"are offered aboard the Odyssey Chicago River, a state-of-the-art, glass-enclosed vessel that features 360-degree views of the surrounding cityscape. Sail past some of the city’s most well-known landmarks, including the Tribune Tower, the Wrigley Building, the Chicago Riverwalk, and more.",couple,dinner cruises,are offered aboard the odyssey chicago river a state of the art glass enclosed vessel that features  degree views of the surrounding cityscape sail past some of the city s most well known landmarks including the tribune tower the wrigley building the chicago riverwalk and more ,https://cdn.choosechicago.com/uploads/2021/06/ba02e5ad-09e7-4ef4-9e51-309e75c45ea6-900x630.jpeg,,choosechicago
dinner cruises in Chicago,"City Cruises offers a wide variety of , whether you’re looking for a casual daytime meal or an elegant evening out. Here are just a few of their signature cruise options that are guaranteed to create an unforgettable experience.",couple,dinner cruises,city cruises offers a wide variety of whether you re looking for a casual daytime meal or an elegant evening out here are just a few of their signature cruise options that are guaranteed to create an unforgettable experience ,,,choosechicago
Edgewater,"Located in , this beach is officially named Kathy Osterman Beach — though the locals just call it Hollywood Beach for its proximity to Hollywood Avenue. The beach is also a beloved part of the city’s thriving LGBTQ+ scene.",couple,beaches,located in this beach is officially named kathy osterman beach — though the locals just call it hollywood beach for its proximity to hollywood avenue the beach is also a beloved part of the city s thriving lgbtq scene ,https://cdn.choosechicago.com/uploads/2023/06/AA_Hollywood_Beach_08-900x600.jpg,,choosechicago
Ella Elli,"Channeling the flavors and techniques of French and Italian cuisine,  in Lakeview serves as a distinguished gathering spot to enjoy superb wine, food, and conversation. Share cocktails and small plates in front of the fireplace or in one of the many tucked-away alcoves.",couple,romantic restaurants,channeling the flavors and techniques of french and italian cuisine in lakeview serves as a distinguished gathering spot to enjoy superb wine food and conversation share cocktails and small plates in front of the fireplace or in one of the many tucked away alcoves ,,,choosechicago
Elske’s,"The name means “love” in Danish, and there’s a husband-and-wife duo running the kitchen. It doesn’t get more romantic than that. The interior features minimalist decor and soft lighting, anchored by a small patio and working fireplace. The tasting menu offers multiple courses of artfully presented dishes made with seasonal ingredients. There’s also an a la carte menu, where you can get a taste of  unique take on Danish cuisine.",couple,romantic restaurants,the name means “love in danish and there s a husband and wife duo running the kitchen it doesn t get more romantic than that the interior features minimalist decor and soft lighting anchored by a small patio and working fireplace the tasting menu offers multiple courses of artfully presented dishes made with seasonal ingredients there s also an a la carte menu where you can get a taste of unique take on danish cuisine ,https://cdn.choosechicago.com/uploads/2019/06/Elske-900x563.jpg,,choosechicago
Escape rooms,"Take the kids on the greatest adventure ever with a Chicago escape room. Make a prison break, escape an ‘L’ car, and even take a mission to Mars while testing kids’ problem-solving and team-building skills. Take your pick from Escape Artistry, The Escape Game Chicago, and Fox in a Box – Chicago, among others.",family,,take kid greatest adventure ever chicago escape room make prison break escape ‘ l car even take mission mar testing kid problem solving team building skill take pick escape artistry escape game chicago fox box chicago among others,https://cdn.choosechicago.com/uploads/2019/05/The_Escape_Game.jpg,,choosechicago
MillenniumPark,: Get the full scoop on winter ice skating in Millennium Park.,couple,MillenniumPark, get the full scoop on winter ice skating in millennium park ,,,choosechicago
beaches,": Dine with a view at these waterfront restaurants and bars.

: Discover top things to do with our summer guide to Chicago.

: Check out things to do, see, and eat in the South Shore neighborhood.",couple,beaches," dine with a view at these waterfront restaurants and bars 

 discover top things to do with our summer guide to chicago 

 check out things to do see and eat in the south shore neighborhood ",,,choosechicago
Field Museum ,"takes adventure to a whole new level with the likes of SUE the T. rex, man-eating tigers, and Máximo the Titanosaur, the largest dinosaur known to man. The Field sits on the lakeside Museum Campus, along with Adler Planetarium and Shedd Aquarium. Take a Shoreline Sightseeing boat from Navy Pier or Willis Tower and explore all three.",family,,take adventure whole new level like sue rex man eating tiger máximo titanosaur largest dinosaur known man field sits lakeside museum campus along adler planetarium shedd aquarium take shoreline sightseeing boat navy pier willis tower explore three,,,choosechicago
Find Chicago beaches by activities: ,Chicago beaches with waterfront diningChicago beaches with outdoor recreationChicago beaches near museums and attractions,couple,beaches,chicago beaches with waterfront diningchicago beaches with outdoor recreationchicago beaches near museums and attractions,,,choosechicago
Find information and pre-purchase parking,"By carConvenient parking is located in the Millennium Park Garage, Grant Park North, Grant Park South, and East Monroe Garages. .",couple,MillenniumPark,by carconvenient parking is located in the millennium park garage grant park north grant park south and east monroe garages ,,,choosechicago
